2026-04-27 00:12:51 - backtest_project_426.backtest_main - INFO - ==================================================
2026-04-27 00:12:51 - backtest_project_426.backtest_main - INFO - 开始回测程序
2026-04-27 00:12:52 - backtest_project_426.backtest_main - INFO - 初始资金: 100000.0
2026-04-27 00:12:52 - backtest_project_426.backtest_main - INFO - 回测期间: 2025-04-15 到 2026-04-15
2026-04-27 00:12:52 - backtest_project_426.backtest_main - INFO - ==================================================
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 策略初始化完成: fast_period=6, slow_period=20
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3639.67, 快线: 3601.29, 慢线: 3572.22
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3635.13, 快线: 3611.61, 慢线: 3578.47
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3647.55, 快线: 3626.21, 慢线: 3584.86
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3665.92, 快线: 3639.98, 慢线: 3592.91
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3683.46, 快线: 3650.95, 慢线: 3601.89
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3666.44, 快线: 3656.36, 慢线: 3609.37
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3696.77, 快线: 3665.88, 慢线: 3617.49
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3728.03, 快线: 3681.36, 慢线: 3625.90
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3727.29, 快线: 3694.65, 慢线: 3633.17
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3766.21, 快线: 3711.37, 慢线: 3642.36
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3771.10, 快线: 3725.97, 慢线: 3650.63
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3825.76, 快线: 3752.53, 慢线: 3662.24
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3883.56, 快线: 3783.66, 慢线: 3676.52
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3868.38, 快线: 3807.05, 慢线: 3689.45
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3800.35, 快线: 3819.23, 慢线: 3698.68
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3843.60, 快线: 3832.12, 慢线: 3712.20
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3857.93, 快线: 3846.60, 慢线: 3727.10
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3875.53, 快线: 3854.89, 慢线: 3741.71
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3858.13, 快线: 3850.65, 慢线: 3753.74
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3813.56, 快线: 3841.52, 慢线: 3762.72
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3765.88, 快线: 3835.77, 慢线: 3769.03
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3812.51, 快线: 3830.59, 慢线: 3777.90
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3826.84, 快线: 3825.41, 慢线: 3786.86
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3807.29, 快线: 3814.03, 慢线: 3793.93
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3812.22, 快线: 3806.38, 慢线: 3800.37
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3875.31, 快线: 3816.67, 慢线: 3810.81
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3870.60, 快线: 3834.13, 慢线: 3819.50
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3860.50, 快线: 3842.13, 慢线: 3826.13
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3861.87, 快线: 3847.97, 慢线: 3832.86
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3876.34, 快线: 3859.47, 慢线: 3838.36
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3831.66, 快线: 3862.71, 慢线: 3841.39
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3820.09, 快线: 3853.51, 慢线: 3841.11
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3828.58, 快线: 3846.51, 慢线: 3838.36
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3821.83, 快线: 3840.06, 慢线: 3836.03
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3853.64, 快线: 3838.69, 慢线: 3838.70
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 卖出执行，价格：3848.58，成本：33921.69，佣金 11.55
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 利润记录，毛利润 4564.09，净利润 4542.37
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3853.30, 快线: 3834.85, 慢线: 3839.18
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3828.11, 快线: 3834.26, 慢线: 3837.69
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3862.53, 快线: 3841.33, 慢线: 3837.04
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 买入执行，价格：3873.57，成本：38735.70，佣金 11.62
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3882.78, 快线: 3850.37, 慢线: 3838.27
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3933.97, 快线: 3869.06, 慢线: 3844.29
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3897.03, 快线: 3876.29, 慢线: 3850.85
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3889.50, 快线: 3882.32, 慢线: 3854.70
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3865.23, 快线: 3888.51, 慢线: 3856.62
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3912.21, 快线: 3896.79, 慢线: 3861.87
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3916.23, 快线: 3902.36, 慢线: 3867.07
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3839.76, 快线: 3886.66, 慢线: 3865.29
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3863.89, 快线: 3881.14, 慢线: 3864.95
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3916.33, 快线: 3885.61, 慢线: 3867.74
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3913.76, 快线: 3893.70, 慢线: 3870.34
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3922.41, 快线: 3895.40, 慢线: 3872.64
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3950.31, 快线: 3901.08, 慢线: 3878.57
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3996.94, 快线: 3927.27, 慢线: 3887.42
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3988.22, 快线: 3948.00, 慢线: 3895.40
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4016.33, 快线: 3964.66, 慢线: 3905.12
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3986.90, 快线: 3976.85, 慢线: 3911.79
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3954.79, 快线: 3982.25, 慢线: 3916.86
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3976.52, 快线: 3986.62, 慢线: 3924.28
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3960.19, 快线: 3980.49, 慢线: 3929.16
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3969.25, 快线: 3977.33, 慢线: 3933.49
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4007.76, 快线: 3975.90, 慢线: 3937.18
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3997.56, 快线: 3977.68, 慢线: 3942.20
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4018.60, 快线: 3988.31, 慢线: 3948.66
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4002.76, 快线: 3992.69, 慢线: 3955.54
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4000.14, 快线: 3999.34, 慢线: 3959.93
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 4029.50, 快线: 4009.39, 慢线: 3965.60
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3990.49, 快线: 4006.51, 慢线: 3973.13
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3972.03, 快线: 4002.25, 慢线: 3978.54
